0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:26:13 -0800] "GET /Ecommerce_Fd_ILT/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:26:13 -0800] "GET /Ecommerce_Fd_ILT/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:26:21 -0800] "GET /Ecommerce_Fd_ILT/product HTTP/1.1" 200 8114
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:26:21 -0800] "GET /Ecommerce_Fd_ILT/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:26:21 -0800] "GET /Ecommerce_Fd_ILT/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:26:21 -0800] "GET /Ecommerce_Fd_ILT/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:26:21 -0800] "GET /Ecommerce_Fd_ILT/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:26:21 -0800] "GET /Ecommerce_Fd_ILT/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:26:21 -0800] "GET /Ecommerce_Fd_ILT/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:40:26 -0800] "GET /Ecommerce_Fd_ILT/categorylist HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:40:26 -0800] "GET /Ecommerce_Fd_ILT/categorylist HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:52:00 -0800] "GET /Ecommerce_Fd_ILT/product HTTP/1.1" 200 8114
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:52:00 -0800] "GET /Ecommerce_Fd_ILT/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:52:00 -0800] "GET /Ecommerce_Fd_ILT/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:52:00 -0800] "GET /Ecommerce_Fd_ILT/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:52:00 -0800] "GET /Ecommerce_Fd_ILT/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:52:00 -0800] "GET /Ecommerce_Fd_ILT/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:52:00 -0800] "GET /Ecommerce_Fd_ILT/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:53:34 -0800] "POST /Ecommerce_Fd_ILT/addProductAction HTTP/1.1" 200 282
