127.0.0.1 - - [20/Jan/2020:13:51:02 -0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:51:38 -0800] "GET /Ecommerce_Fd_ILT/resources/css/ss.css HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:51:38 -0800] "GET /Ecommerce_Fd_ILT/resources/images/loginlogo.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:51:52 -0800] "POST /Ecommerce_Fd_ILT/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:51:52 -0800] "GET /Ecommerce_Fd_ILT/ HTTP/1.1" 200 6775
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:51:52 -0800] "GET /Ecommerce_Fd_ILT/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4294
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:51:52 -0800] "GET /Ecommerce_Fd_ILT/resources/css/ss.css HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:51:53 -0800] "GET /Ecommerce_Fd_ILT/resources/css/datatables.css HTTP/1.1" 200 16663
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:51:53 -0800] "GET /Ecommerce_Fd_ILT/resources/css/datatables.min.css HTTP/1.1" 200 14318
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:51:53 -0800] "GET /Ecommerce_Fd_ILT/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 82070
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:51:53 -0800] "GET /Ecommerce_Fd_ILT/resources/images/img1.jpg HTTP/1.1" 200 171228
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:51:53 -0800] "GET /Ecommerce_Fd_ILT/resources/images/img2.jpg HTTP/1.1" 200 82987
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:51:53 -0800] "GET /Ecommerce_Fd_ILT/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:51:53 -0800] "GET /Ecommerce_Fd_ILT/resources/images/img3.jpg HTTP/1.1" 200 159102
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:52:05 -0800] "GET /Ecommerce_Fd_ILT/admin/add HTTP/1.1" 200 8788
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:52:05 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:52:05 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:52:05 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:52:05 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:52:05 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:52:05 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:20 -0800] "GET /Ecommerce_Fd_ILT/admin/add HTTP/1.1" 200 8788
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:20 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:20 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:20 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:20 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:20 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:20 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:25 -0800] "GET /Ecommerce_Fd_ILT/admin/add HTTP/1.1" 200 8788
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:25 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:25 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:25 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:25 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:25 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:25 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:30 -0800] "GET /Ecommerce_Fd_ILT/admin/productlistview HTTP/1.1" 200 5080
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:31 -0800] "GET /Ecommerce_Fd_ILT/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4294
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:31 -0800] "GET /Ecommerce_Fd_ILT/resources/css/datatables.css HTTP/1.1" 200 16663
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:31 -0800] "GET /Ecommerce_Fd_ILT/resources/css/datatables.min.css HTTP/1.1" 200 14318
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:31 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:31 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:31 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:31 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:31 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:31 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:31 -0800] "GET /Ecommerce_Fd_ILT/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:31 -0800] "GET /Ecommerce_Fd_ILT/resources/images/mob.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:31 -0800] "GET /Ecommerce_Fd_ILT/resources/images/img1.jpg HTTP/1.1" 200 171228
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:31 -0800] "GET /Ecommerce_Fd_ILT/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 82070
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:32 -0800] "GET /Ecommerce_Fd_ILT/resources/css/DataTables-1.10.16/images/sort_both.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:32 -0800] "GET /Ecommerce_Fd_ILT/resources/css/DataTables-1.10.16/images/sort_asc.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:48 -0800] "GET /Ecommerce_Fd_ILT/admin/product_edit?id=808 HTTP/1.1" 200 8473
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:48 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/css/loginpage.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:48 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:48 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:48 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:48 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:48 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:57:48 -0800] "GET /Ecommerce_Fd_ILT/admin/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:58:09 -0800] "GET /Ecommerce_Fd_ILT/admin/productlistview HTTP/1.1" 200 5080
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:58:10 -0800] "GET /Ecommerce_Fd_ILT/resources/images/mob.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:58:12 -0800] "GET /Ecommerce_Fd_ILT/admin/add HTTP/1.1" 200 8788
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:59:01 -0800] "GET /Ecommerce_Fd_ILT/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:59:02 -0800] "GET /Ecommerce_Fd_ILT/ HTTP/1.1" 200 6963
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:59:02 -0800] "GET /Ecommerce_Fd_ILT/resources/css/ss.css HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:59:02 -0800] "GET /Ecommerce_Fd_ILT/resources/css/datatables.css HTTP/1.1" 200 16663
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:59:02 -0800] "GET /Ecommerce_Fd_ILT/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 82070
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:59:02 -0800] "GET /Ecommerce_Fd_ILT/resources/css/datatables.min.css HTTP/1.1" 200 14318
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:59:02 -0800] "GET /Ecommerce_Fd_ILT/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4294
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:59:02 -0800] "GET /Ecommerce_Fd_ILT/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:59:02 -0800] "GET /Ecommerce_Fd_ILT/resources/images/img1.jpg HTTP/1.1" 200 171228
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:59:02 -0800] "GET /Ecommerce_Fd_ILT/resources/images/img2.jpg HTTP/1.1" 200 82987
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:59:02 -0800] "GET /Ecommerce_Fd_ILT/resources/images/img3.jpg HTTP/1.1" 200 159102
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:59:47 -0800] "GET /Ecommerce_Fd_ILT/login HTTP/1.1" 200 6827
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:59:47 -0800] "GET /Ecommerce_Fd_ILT/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4294
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:59:47 -0800] "GET /Ecommerce_Fd_ILT/resources/css/loginpage.css HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:59:47 -0800] "GET /Ecommerce_Fd_ILT/resources/css/ss.css HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:59:47 -0800] "GET /Ecommerce_Fd_ILT/resources/css/datatables.css HTTP/1.1" 200 16663
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:59:47 -0800] "GET /Ecommerce_Fd_ILT/resources/css/datatables.min.css HTTP/1.1" 200 14318
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:59:47 -0800] "GET /Ecommerce_Fd_ILT/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 82070
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:59:47 -0800] "GET /Ecommerce_Fd_ILT/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:59:47 -0800] "GET /Ecommerce_Fd_ILT/resources/images/loginlogo.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:59:58 -0800] "POST /Ecommerce_Fd_ILT/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:59:58 -0800] "GET /Ecommerce_Fd_ILT/ HTTP/1.1" 200 6774
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:59:58 -0800] "GET /Ecommerce_Fd_ILT/resources/css/ss.css HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:59:58 -0800] "GET /Ecommerce_Fd_ILT/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4294
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:59:58 -0800] "GET /Ecommerce_Fd_ILT/resources/css/datatables.css HTTP/1.1" 200 16663
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:59:58 -0800] "GET /Ecommerce_Fd_ILT/resources/css/datatables.min.css HTTP/1.1" 200 14318
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:59:58 -0800] "GET /Ecommerce_Fd_ILT/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:59:58 -0800] "GET /Ecommerce_Fd_ILT/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 82070
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:59:58 -0800] "GET /Ecommerce_Fd_ILT/resources/images/img1.jpg HTTP/1.1" 200 171228
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:59:58 -0800] "GET /Ecommerce_Fd_ILT/resources/images/img2.jpg HTTP/1.1" 200 82987
0:0:0:0:0:0:0:1 - - [20/Jan/2020:13:59:58 -0800] "GET /Ecommerce_Fd_ILT/resources/images/img3.jpg HTTP/1.1" 200 159102
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:09 -0800] "GET /Ecommerce_Fd_ILT/resources/css/ss.css HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:09 -0800] "GET /Ecommerce_Fd_ILT/resources/css/datatables.css HTTP/1.1" 200 16663
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:09 -0800] "GET /Ecommerce_Fd_ILT/resources/css/datatables.min.css HTTP/1.1" 200 14318
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:09 -0800] "GET /Ecommerce_Fd_ILT/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 82070
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:09 -0800] "GET /Ecommerce_Fd_ILT/resources/images/mob.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:09 -0800] "GET /Ecommerce_Fd_ILT/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:09 -0800] "GET /Ecommerce_Fd_ILT/categoryproductlist?id=102 HTTP/1.1" 200 3903
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:09 -0800] "GET /Ecommerce_Fd_ILT/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4294
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:09 -0800] "GET /Ecommerce_Fd_ILT/resources/images/mob.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:09 -0800] "GET /Ecommerce_Fd_ILT/resources/css/DataTables-1.10.16/images/sort_both.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:09 -0800] "GET /Ecommerce_Fd_ILT/resources/css/DataTables-1.10.16/images/sort_asc.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:12 -0800] "GET /Ecommerce_Fd_ILT/user/product?id=798 HTTP/1.1" 200 7804
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:12 -0800] "GET /Ecommerce_Fd_ILT/user/loginpage.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:12 -0800] "GET /Ecommerce_Fd_ILT/user/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:12 -0800] "GET /Ecommerce_Fd_ILT/user/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:12 -0800] "GET /Ecommerce_Fd_ILT/user/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:12 -0800] "GET /Ecommerce_Fd_ILT/resources/images/mob.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:12 -0800] "GET /Ecommerce_Fd_ILT/user/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:12 -0800] "GET /Ecommerce_Fd_ILT/user/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:12 -0800] "GET /Ecommerce_Fd_ILT/user/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:12 -0800] "GET /Ecommerce_Fd_ILT/resources/images/mob.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:20 -0800] "POST /Ecommerce_Fd_ILT/user/productdetails HTTP/1.1" 200 5751
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:20 -0800] "GET /Ecommerce_Fd_ILT/user/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:20 -0800] "GET /Ecommerce_Fd_ILT/user/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:20 -0800] "GET /Ecommerce_Fd_ILT/user/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:20 -0800] "GET /Ecommerce_Fd_ILT/user/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:20 -0800] "GET /Ecommerce_Fd_ILT/user/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:20 -0800] "GET /Ecommerce_Fd_ILT/user/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:28 -0800] "GET /Ecommerce_Fd_ILT/user/customerdetails HTTP/1.1" 200 7515
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:28 -0800] "GET /Ecommerce_Fd_ILT/user/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:28 -0800] "GET /Ecommerce_Fd_ILT/user/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:28 -0800] "GET /Ecommerce_Fd_ILT/user/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:28 -0800] "GET /Ecommerce_Fd_ILT/user/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:28 -0800] "GET /Ecommerce_Fd_ILT/user/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:00:28 -0800] "GET /Ecommerce_Fd_ILT/user/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:01:34 -0800] "GET /Ecommerce_Fd_ILT/user/customer?cusid=201&cname=rajguru&cemail=rajaguru%40gmail.com&caddress=palani&cphone=9943960859&cpay=card&singlebutton= HTTP/1.1" 200 7515
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:01:34 -0800] "GET /Ecommerce_Fd_ILT/user/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:01:34 -0800] "GET /Ecommerce_Fd_ILT/user/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:01:34 -0800] "GET /Ecommerce_Fd_ILT/user/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:01:34 -0800] "GET /Ecommerce_Fd_ILT/user/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:01:34 -0800] "GET /Ecommerce_Fd_ILT/user/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:01:34 -0800] "GET /Ecommerce_Fd_ILT/user/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:01:40 -0800] "GET /Ecommerce_Fd_ILT/user/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:01:40 -0800] "GET /Ecommerce_Fd_ILT/user/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:01:40 -0800] "GET /Ecommerce_Fd_ILT/user/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:01:40 -0800] "GET /Ecommerce_Fd_ILT/user/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:01:40 -0800] "GET /Ecommerce_Fd_ILT/user/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:01:40 -0800] "GET /Ecommerce_Fd_ILT/user/thankyoupage HTTP/1.1" 200 6017
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:01:40 -0800] "GET /Ecommerce_Fd_ILT/user/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:01:50 -0800] "GET /Ecommerce_Fd_ILT/user/check?cusid=201&singlebutton= HTTP/1.1" 200 6062
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:01:51 -0800] "GET /Ecommerce_Fd_ILT/user/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
